Covered ID,Cell Size,CenterX,CenterY,Boundary Length,Boundary NormalX, Boundary NormalY,Volume Fraction,FirstX,FirstY,Laplacian
2,0.5,-0.75,-0.75,0.235496,-0.894427,-0.447214,0.0373613,-0.128926,-0.141108,0.102161
2,0.5,-0.25,-0.75,0.578493,-0.5547,-0.83205,0.671379,-0.139669,-0.486343,0.522158
2,0.5,0.25,-0.75,0.578493,0.5547,-0.83205,0.671379,0.139669,-0.486343,0.522158
2,0.5,0.75,-0.75,0.235496,0.894427,-0.447214,0.0373614,0.128926,-0.141108,0.102164
2,0.5,-0.75,-0.25,0.508771,-0.986394,-0.164399,0.313265,-0.334124,-0.126937,0.375027
1,0.5,-0.25,-0.25,0,0,0,1,0,0,0.1875
1,0.5,0.25,-0.25,0,0,0,1,0,0,0.1875
2,0.5,0.75,-0.25,0.508771,0.986394,-0.164399,0.313265,0.334124,-0.126937,0.375027
2,0.5,-0.75,0.25,0.508771,-0.986394,0.164399,0.313265,-0.334124,0.126937,0.375027
1,0.5,-0.25,0.25,0,0,0,1,0,0,0.1875
1,0.5,0.25,0.25,0,0,0,1,0,0,0.1875
2,0.5,0.75,0.25,0.508771,0.986394,0.164399,0.313265,0.334124,0.126937,0.375027
2,0.5,-0.75,0.75,0.235496,-0.894427,0.447214,0.0373614,-0.128926,0.141108,0.102164
2,0.5,-0.25,0.75,0.578493,-0.5547,0.83205,0.671379,-0.139669,0.486343,0.522158
2,0.5,0.25,0.75,0.578493,0.5547,0.83205,0.671379,0.139669,0.486343,0.522158
2,0.5,0.75,0.75,0.235496,0.894427,0.447214,0.0373613,0.128926,0.141108,0.102161
